,crime,number,date,location,beat,neighborhood,npu,lat,long,type,road,neighbourhood_lookup,city,county,state,postcode,country
25471,AUTO THEFT,100051597,5/1/10,1947 DETROIT AVE,107,Grove Park,J,33.76722,-84.45058,house_number,Detroit Avenue Northwest,Grove Park,Atlanta,Fulton County,Georgia,30314,United States
25472,AGG ASSAULT,100051625,5/1/10,1053 WASHITA AVE NE,602,Inman Park,N,33.76395,-84.35326,house_number,Washita Avenue Northeast,Little Five Points,Atlanta,Fulton County,Georgia,30307,United States
25473,LARCENY-NON VEHICLE,100051630,5/1/10,464 MORELAND AVE NE;,602,Inman Park,N,33.76686,-84.34915,amenity,Moreland Avenue Northeast,Little Five Points,Atlanta,Fulton County,Georgia,30306,United States
25474,BURGLARY-RESIDENCE,100051642,5/1/10,721 BERNICE ST SW,402,West End,T,33.73559,-84.43338,house_number,Bernice Street Southwest,West End,Atlanta,Fulton County,Georgia,30310,United States
25475,LARCENY-NON VEHICLE,100051655,5/1/10,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212,shop,Peachtree Road Northeast,,Atlanta,Fulton County,Georgia,30326,United States
25476,BURGLARY-RESIDENCE,100051665,5/1/10,2101 SOUTHWOOD BLVD SW,412,Ben Hill Terrace,P,33.69389,-84.51952,house_number,Campbellton Road,,Atlanta,Fulton County,Georgia,30331,United States
25477,BURGLARY-RESIDENCE,100051687,5/1/10,692 PEARCE ST SW,301,Adair Park,V,33.72928,-84.41029,house_number,Pearce Street Southwest,Pittsburgh,Atlanta,Fulton County,Georgia,30310,United States
25478,LARCENY-NON VEHICLE,100051699,5/1/10,2615 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.7762,-84.47236,house_number,Donald Lee Hollowell Parkway Northwest,Center Hill,Atlanta,Fulton County,Georgia,30318,United States
25479,ROBBERY-PEDESTRIAN,100051703,5/1/10,3390 FAIRBURN RD SW,414,Ben Hill,P,33.6632,-84.52404,city,,,Atlanta,Fulton County,Georgia,30272,United States
25480,AUTO THEFT,100051726,5/1/10,3500 MT GILEAD RD,412,Midwest Cascade,Q,33.73223,-84.53284,house_number,Regency Center Drive Southwest,,Atlanta,Fulton County,Georgia,30331,United States
25481,LARCENY-FROM VEHICLE,100051732,5/1/10,1245 GLENWOOD AVE SE,612,East Atlanta,W,33.74006,-84.3466,house_number,Glenwood Avenue Southeast,East Atlanta Village,Atlanta,DeKalb County,Georgia,30316,United States
25482,LARCENY-FROM VEHICLE,100051743,5/1/10,2028 PRESLEY WAY NE,610,Kirkwood,O,33.76061,-84.32108,house_number,Presley Way Northeast,Lake Claire,Atlanta,DeKalb County,Georgia,30317,United States
25483,BURGLARY-RESIDENCE,100051749,5/1/10,984 MAYSON TURNER RD NW,105,Washington Park,K,33.75991,-84.41903,house_number,Mayson Turner Road Northwest,English Ave.,Atlanta,Fulton County,Georgia,30314,United States
25484,LARCENY-FROM VEHICLE,100051752,5/1/10,1054 LANIER BLVD NE,601,Virginia Highland,F,33.7835,-84.35288,house_number,Lanier Boulevard Northeast,Virginia Highland,Atlanta,Fulton County,Georgia,30306,United States
25485,BURGLARY-RESIDENCE,100051756,5/1/10,2125 JOSEPH E BOONE BLVD NW,108,Center Hill,J,33.76479,-84.4579,house_number,Joseph E. Boone Boulevard Northwest,Dixie Hills,Atlanta,Fulton County,Georgia,30314,United States
25486,LARCENY-NON VEHICLE,100051768,5/1/10,1024 LITTLE HAMPTON CT SE,313,South River Gardens,Z,33.65916,-84.35203,house_number,Little Hampton Court,,Atlanta,Fulton County,Georgia,30354,United States
25487,ROBBERY-PEDESTRIAN,100051864,5/1/10,MARTIN L KING JR DR NW/ BOULDER PARK DR SW,111,,I,33.75314,-84.48871,house_number,Middleton Road Northwest,Stratford,Atlanta,Fulton County,Georgia,30311,United States
25488,AUTO THEFT,100051869,5/1/10,931 MONROE DR NE,506,Midtown,E,33.77973,-84.3676,building,Atlanta BeltLine Eastside Trail,,Atlanta,Fulton County,Georgia,30308,United States
